DATE,y
12/02/2012,60600
19/02/2012,57220
26/02/2012,55170
04/03/2012,61310
11/03/2012,60570
18/03/2012,60150
25/03/2012,57520
01/04/2012,59300
08/04/2012,56880
15/04/2012,53720
22/04/2012,56000
29/04/2012,54230
06/05/2012,54360
13/05/2012,52810
20/05/2012,51490
27/05/2012,50220
03/06/2012,41190
10/06/2012,50750
17/06/2012,48640
24/06/2012,48720
01/07/2012,48710
08/07/2012,38250
15/07/2012,45480
22/07/2012,46870
29/07/2012,46730
05/08/2012,46590
12/08/2012,45370
19/08/2012,45900
26/08/2012,47070
02/09/2012,38410
09/09/2012,34720
16/09/2012,54140
23/09/2012,48980
30/09/2012,48000
7/10/2012,48220
14/10/2012,40790
21/10/2012,47350
28/10/2012,47220
4/11/2012,41600
11/11/2012,43280
18/11/2012,40940
25/11/2012,34940
02/12/2012,38730
9/12/2012,42610
16/12/2012,36390
23/12/2012,86670
30/12/2012,29360
06/01/2013,54560
13/01/2013,70250
20/01/2013,55560
27/01/2013,60450
03/02/2013,56160
10/02/2013,56540
17/02/2013,52900
24/02/2013,60300
03/03/2013,60180
10/03/2013,59300
17/03/2013,59350
24/03/2013,57150
31/03/2013,53790
07/04/2013,56940
14/04/2013,55800
21/04/2013,54450
28/04/2013,56740
05/05/2013,53680
12/05/2013,50590
19/05/2013,41820
26/05/2013,45120
02/06/2013,52180
09/06/2013,35080
16/06/2013,55620
23/06/2013,57650
30/06/2013,32890
07/07/2013,53780
14/07/2013,50270
21/07/2013,48140
28/07/2013,50000
04/08/2013,49710
11/08/2013,48320
18/08/2013,48890
25/08/2013,50130
01/09/2013,38000
08/09/2013,51610
15/09/2013,50780
22/09/2013,40980
29/09/2013,57060
6/10/2013,42130
13/10/2013,38070
20/10/2013,52020
27/10/2013,52650
03/11/2013,49900
10/11/2013,42530
17/11/2013,49980
24/11/2013,37050
01/12/2013,41520
8/12/2013,45920
15/12/2013,47040
22/12/2013,34090
29/12/2013,12310
05/01/2014,64310
12/01/2014,71900
19/01/2014,52580
26/01/2014,61170
02/02/2014,61230
09/02/2014,58950
16/02/2014,54280
23/02/2014,62850
02/03/2014,61850
09/03/2014,61480
16/03/2014,61960
23/03/2014,63520
30/03/2014,61810
06/04/2014,59080
13/04/2014,57460
20/04/2014,55190
27/04/2014,58590
04/05/2014,55980
11/05/2014,53440
18/05/2014,54000
25/05/2014,42930
01/06/2014,53950
08/06/2014,52650
15/06/2014,51470
22/06/2014,51960
29/06/2014,49630
06/07/2014,41230
13/07/2014,48250
20/07/2014,50670
27/07/2014,50140
03/08/2014,49540
10/08/2014,50080
17/08/2014,51110
24/08/2014,50980
31/08/2014,40850
07/09/2014,51600
14/09/2014,51240
21/09/2014,51430
28/09/2014,51020
5/10/2014,50390
12/10/2014,43710
19/10/2014,48780
26/10/2014,50850
02/11/2014,49270
9/11/2014,44150
16/11/2014,47510
23/11/2014,36640
30/11/2014,43450
7/12/2014,48430
14/12/2014,48870
21/12/2014,35240
28/12/2014,12310
04/01/2015,73980
11/01/2015,50660
18/01/2015,69830
25/01/2015,65190
01/02/2015,64110
08/02/2015,63490
15/02/2015,55080
22/02/2015,62440
01/03/2015,62870
08/03/2015,61330
15/03/2015,62910
22/03/2015,63070
29/03/2015,62240
05/04/2015,56610
12/04/2015,59750
19/04/2015,59600
26/04/2015,59420
03/05/2015,54820
10/05/2015,56180
17/05/2015,56590
24/05/2015,45570
31/05/2015,56730
07/06/2015,53620
14/06/2015,53650
21/06/2015,54000
28/06/2015,52800
05/07/2015,46100
12/07/2015,51100
19/07/2015,51970
26/07/2015,54400
02/08/2015,51720
09/08/2015,52640
16/08/2015,52280
23/08/2015,52760
30/08/2015,53350
06/09/2015,43020
13/09/2015,52490
20/09/2015,54510
27/09/2015,54230
4/10/2015,53010
11/10/2015,47380
18/10/2015,55580
25/10/2015,53110
01/11/2015,50580
8/11/2015,48790
15/11/2015,50820
22/11/2015,37430
29/11/2015,44520
6/12/2015,51250
13/12/2015,51040
20/12/2015,40620
27/12/2015,17200
03/01/2016,75660
10/01/2016,52920
17/01/2016,72980
24/01/2016,64810
31/01/2016,54920
07/02/2016,74280
14/02/2016,61880
21/02/2016,66970
28/02/2016,66280
06/03/2016,66420
13/03/2016,64310
20/03/2016,65640
27/03/2016,60420
03/04/2016,64310
10/04/2016,62000
17/04/2016,61780
24/04/2016,62360
01/05/2016,61610
08/05/2016,59680
15/05/2016,57130
22/05/2016,62740
29/05/2016,46800
05/06/2016,60370
12/06/2016,56800
19/06/2016,54790
26/06/2016,34540
03/07/2016,60100
10/07/2016,55670
17/07/2016,54100
24/07/2016,55430
31/07/2016,54840
07/08/2016,55060
14/08/2016,56480
21/08/2016,56390
28/08/2016,54580
04/09/2016,45920
11/09/2016,57860
18/09/2016,58480
25/09/2016,56920
02/10/2016,54480
9/10/2016,47290
16/10/2016,54180
23/10/2016,53970
30/10/2016,51960
6/11/2016,52790
13/11/2016,51250
20/11/2016,41650
27/11/2016,51220
4/12/2016,55790
11/12/2016,56490
18/12/2016,52790
25/12/2016,22680
01/01/2017,61560
08/01/2017,70980
15/01/2017,62220
22/01/2017,76230
29/01/2017,75090
05/02/2017,69760
12/02/2017,67290
19/02/2017,66690
26/02/2017,73060
05/03/2017,72390
12/03/2017,71540
19/03/2017,68950
26/03/2017,71640
02/04/2017,69630
09/04/2017,66960
16/04/2017,64510
23/04/2017,66880
30/04/2017,65770
07/05/2017,65720
14/05/2017,64010
21/05/2017,64570
