DATE,y
01/10/2009,1482.8
01/11/2009,1465.8
01/12/2009,1453.7
01/01/2010,1416.8
01/02/2010,1413.8
01/03/2010,1418
01/04/2010,1418.3
01/05/2010,1433
01/06/2010,1459.6
01/07/2010,1477.7
01/08/2010,1491.6
01/09/2010,1483.7
01/10/2010,1469.9
01/11/2010,1461.7
01/12/2010,1462.6
01/01/2011,1434.7
01/02/2011,1430
01/03/2011,1431.5
01/04/2011,1436.9
01/05/2011,1442.5
01/06/2011,1461.3
01/07/2011,1485.9
01/08/2011,1495.6
01/09/2011,1489.5
01/10/2011,1483.2
01/11/2011,1460
01/12/2011,1454
01/01/2012,1428.5
01/02/2012,1426.1
01/03/2012,1433.5
01/04/2012,1436.1
01/05/2012,1450.1
01/06/2012,1478.8
01/07/2012,1498.5
01/08/2012,1517.4
01/09/2012,1517
01/10/2012,1501.5
01/11/2012,1474.4
01/12/2012,1463.4
01/01/2013,1442
01/02/2013,1442.6
01/03/2013,1445.1
01/04/2013,1446.3
01/05/2013,1455.6
01/06/2013,1479.6
01/07/2013,1491.7
01/08/2013,1507.7
01/09/2013,1507
01/10/2013,1495.3
01/11/2013,1485.2
01/12/2013,1485.9
01/01/2014,1460.7
01/02/2014,1463
01/03/2014,1460.8
01/04/2014,1460.7
01/05/2014,1463.8
01/06/2014,1484.8
01/07/2014,1499.9
01/08/2014,1516.9
01/09/2014,1515
01/10/2014,1501.1
01/11/2014,1492.8
01/12/2014,1492.8
01/01/2015,1475.1
01/02/2015,1478.4
01/03/2015,1482
01/04/2015,1479.7
01/05/2015,1487.9
01/06/2015,1521.9
01/07/2015,1541.9
01/08/2015,1545.2
01/09/2015,1541.9
01/10/2015,1530.6
01/11/2015,1528.2
01/12/2015,1528.8
01/01/2016,1516.2
01/02/2016,1517.5
01/03/2016,1517.6
01/04/2016,1518.1
01/05/2016,1525.1
01/06/2016,1573.6
01/07/2016,1594.8
01/08/2016,1605.9
01/09/2016,1589.7
01/10/2016,1579.5
01/11/2016,1568.4
01/12/2016,1571.7
01/01/2017,1555.9
01/02/2017,1571.6
01/03/2017,1567.8
01/04/2017,1573.7
01/05/2017,1577.1
01/06/2017,1605.4
01/07/2017,1625.2
01/08/2017,1644.6
01/09/2017,1630.6
01/10/2017,1613.7
01/11/2017,1603.1
01/12/2017,1607.2
01/01/2018,1586.2
01/02/2018,1592.9
01/03/2018,1589.8
01/04/2018,1588.3
01/05/2018,1597.8
01/06/2018,1632.3
01/07/2018,1651.4
01/08/2018,1656.6
01/09/2018,1651.2
01/10/2018,1640.4
01/11/2018,1630.9
01/12/2018,1631.4
01/01/2019,1609.6
01/02/2019,1614.8
01/03/2019,1614.6
01/04/2019,1614.7
01/05/2019,1620.5
01/06/2019,1648.2
01/07/2019,1666.8
01/08/2019,1674.1
01/09/2019,1672.6
01/10/2019,1670
01/11/2019,1666.5
01/12/2019,1667
01/01/2020,1636.7
01/02/2020,1641
01/03/2020,1630.2
01/04/2020,1530.1
01/05/2020,1559.2
01/06/2020,1595
01/07/2020,1622
01/08/2020,1635.8
01/09/2020,1630.8
01/10/2020,1629.9
01/11/2020,1630.1
01/12/2020,1639.1
01/01/2021,1614.5
01/02/2021,1618.5
01/03/2021,1620.4
01/04/2021,1608.4
01/05/2021,1609.9
01/06/2021,1629.6
01/07/2021,1657.2
01/08/2021,1654.3
01/09/2021,1649.6
01/10/2021,1655.8
01/11/2021,1661.6
01/12/2021,1669.1
01/01/2022,1648.9
01/02/2022,1664.6
01/03/2022,1665.6
01/04/2022,1664
01/05/2022,1678.2
01/06/2022,1703.6
01/07/2022,1721.9
01/08/2022,1725.2
01/09/2022,1721.2
01/10/2022,1718.2
01/11/2022,1721.7
01/12/2022,1727.4
01/01/2023,1710.3
01/02/2023,1718.7
01/03/2023,1718.7
01/04/2023,1716.7
01/05/2023,1717.5
01/06/2023,1732.4
01/07/2023,1741.8
01/08/2023,1746.3
01/09/2023,1744.2
01/10/2023,1751.5
01/11/2023,1751.1
01/12/2023,1760.5
01/01/2024,1743.9
01/02/2024,1752.5
01/03/2024,1750.2
01/04/2024,1749.1
01/05/2024,1754
01/06/2024,1769.5
01/07/2024,1782
01/08/2024,1788.5
01/09/2024,1787.1
01/10/2024,1780.7
01/11/2024,1776.4
01/12/2024,1777.9
