ds,Temperature
8-1976,25.722729
9-1976,26.087975
10-1976,25.827028
11-1976,23.267925
12-1976,22.796822
1-1977,22.902905
2-1977,23.445568
3-1977,26.301708
4-1977,27.785429
5-1977,27.510796
6-1977,28.21874
7-1977,26.838362
8-1977,26.699326
9-1977,26.033125
10-1977,25.972095
11-1977,23.665369
12-1977,23.199062
1-1978,23.53802
2-1978,24.67422
3-1978,27.656319
4-1978,28.47044
5-1978,27.660902
6-1978,27.32961
7-1978,26.406584
8-1978,26.456333
9-1978,25.923288
10-1978,25.518074
11-1978,24.269415
12-1978,22.87009
1-1979,24.509697
2-1979,25.987299
3-1979,28.344212
4-1979,28.77671
5-1979,27.904495
6-1979,27.10058
7-1979,27.369545
8-1979,26.73733
9-1979,26.313524
10-1979,25.275644
11-1979,23.607779
12-1979,22.601414
1-1980,23.160894
2-1980,25.16788
3-1980,27.961166
4-1980,29.297222
5-1980,28.581062
6-1980,26.8385
7-1980,26.96457
8-1980,26.66362
9-1980,26.085442
10-1980,25.915705
11-1980,24.65767
12-1980,23.277397
1-1981,22.32949
2-1981,25.317669
3-1981,27.566381
4-1981,28.134176
5-1981,27.508825
6-1981,26.843729
7-1981,26.547167
8-1981,26.677408
9-1981,26.612911
10-1981,25.985826
11-1981,24.510311
12-1981,21.378038
1-1982,22.279001
2-1982,25.200056
3-1982,27.819263
4-1982,27.370502
5-1982,28.15518
6-1982,27.150677
7-1982,26.732998
8-1982,26.135174
9-1982,25.85331
10-1982,25.908222
11-1982,25.353502
12-1982,21.14223
1-1983,22.102581
2-1983,25.709003
3-1983,27.715895
4-1983,30.276606
5-1983,28.826363
6-1983,27.748081
7-1983,27.439234
8-1983,26.646332
9-1983,26.400763
10-1983,25.702934
11-1983,23.014948
12-1983,21.6588
1-1984,22.058348
2-1984,25.411112
3-1984,27.004702
4-1984,28.65763
5-1984,27.420185
6-1984,26.83216
7-1984,26.4698
8-1984,26.421865
9-1984,25.98806
10-1984,25.097023
11-1984,24.320206
12-1984,22.823326
1-1985,23.457346
2-1985,25.716877
3-1985,27.129875
4-1985,28.2484
5-1985,27.340302
6-1985,26.682957
7-1985,26.203487
8-1985,26.102345
9-1985,26.040592
10-1985,25.509281
11-1985,24.864616
12-1985,22.198872
1-1986,21.966036
2-1986,24.974693
3-1986,26.369225
4-1986,28.29807
5-1986,27.25298
6-1986,27.362751
7-1986,26.64808
8-1986,26.795326
9-1986,26.399086
10-1986,25.837292
11-1986,24.206966
12-1986,22.897469
1-1987,23.360693
2-1987,25.198353
3-1987,27.224285
4-1987,28.760271
5-1987,28.571869
6-1987,27.742514
7-1987,27.460972
8-1987,27.148878
9-1987,26.653788
10-1987,26.452574
11-1987,25.708244
12-1987,20.936909
1-1988,23.957685
2-1988,26.088026
3-1988,28.089819
4-1988,28.569912
5-1988,27.69157
6-1988,27.24543
7-1988,27.112448
8-1988,26.75874
9-1988,26.789873
10-1988,25.523104
11-1988,23.19195
12-1988,22.101788
1-1989,24.102861
2-1989,24.87772
3-1989,26.573181
4-1989,29.127893
5-1989,27.882454
6-1989,27.024065
7-1989,27.026743
8-1989,26.68355
9-1989,26.513014
10-1989,25.7098
11-1989,24.421164
12-1989,22.141129
1-1990,24.314531
2-1990,25.67203
3-1990,26.873981
4-1990,29.031792
5-1990,27.661493
6-1990,27.459639
7-1990,26.786684
8-1990,27.17107
9-1990,26.591629
10-1990,25.961964
11-1990,24.759504
12-1990,22.891392
1-1991,24.47302
2-1991,25.16124
3-1991,28.44479
4-1991,29.063122
5-1991,28.426546
6-1991,27.366957
7-1991,27.119358
8-1991,26.416555
9-1991,26.687387
10-1991,25.628767
11-1991,24.020891
12-1991,23.047321
1-1992,22.132317
2-1992,24.32557
3-1992,27.701582
4-1992,30.06759
5-1992,29.246796
6-1992,27.616198
7-1992,26.91178
8-1992,26.646528
9-1992,26.495802
10-1992,24.761608
11-1992,22.989046
12-1992,22.552368
1-1993,22.507101
2-1993,23.99566
3-1993,26.939342
4-1993,28.363836
5-1993,28.153902
6-1993,27.900135
7-1993,27.5529
8-1993,26.49788
9-1993,26.298857
10-1993,25.62554
11-1993,24.701342
12-1993,22.320807
1-1994,23.964718
2-1994,26.572165
3-1994,26.416384
4-1994,28.788395
5-1994,27.797564
6-1994,26.85428
7-1994,26.742393
8-1994,26.16017
9-1994,26.446058
10-1994,25.136026
11-1994,24.524096
12-1994,23.83014
1-1995,23.600597
2-1995,24.59804
3-1995,27.952888
4-1995,29.423807
5-1995,28.112984
6-1995,27.831734
7-1995,26.779219
8-1995,26.601679
9-1995,26.481667
10-1995,26.14009
11-1995,24.386862
12-1995,22.063051
1-1996,23.131569
2-1996,23.805029
3-1996,27.58062
4-1996,27.768278
5-1996,27.503656
6-1996,27.251167
7-1996,26.958315
8-1996,26.64384
9-1996,26.23209
10-1996,25.940619
11-1996,24.86685
12-1996,22.340858
1-1997,22.761
2-1997,24.885538
3-1997,27.168722
4-1997,27.367018
5-1997,28.661316
6-1997,28.236748
7-1997,26.993753
8-1997,26.825151
9-1997,26.424334
10-1997,26.440523
11-1997,25.406818
12-1997,24.729824
1-1998,25.070415
2-1998,26.551226
3-1998,28.93396
4-1998,29.770407
5-1998,29.416134
6-1998,28.474733
7-1998,27.669867
8-1998,27.312626
9-1998,26.725018
10-1998,26.343426
11-1998,24.926615
12-1998,23.488337
1-1999,23.861818
2-1999,25.471699
3-1999,27.810232
4-1999,27.542387
5-1999,26.676008
6-1999,27.016672
7-1999,27.069668
8-1999,26.540932
9-1999,26.366337
10-1999,25.787632
11-1999,24.64536
12-1999,20.863686
1-2000,23.90016
2-2000,24.497828
3-2000,26.92074
4-2000,27.551828
5-2000,27.120365
6-2000,26.869984
7-2000,26.77689
8-2000,26.838087
9-2000,26.089071
10-2000,26.130154
11-2000,24.148544
12-2000,24.10844
1-2001,24.823053
2-2001,25.667898
3-2001,26.551336
4-2001,29.690355
5-2001,27.260134
6-2001,27.200354
7-2001,27.098183
8-2001,26.909214
9-2001,26.743664
10-2001,26.327435
11-2001,23.286722
12-2001,23.586332
1-2002,23.36069
2-2002,25.793686
3-2002,27.420958
4-2002,28.871185
5-2002,27.732065
6-2002,27.71761
7-2002,27.368408
8-2002,26.595268
9-2002,26.306194
10-2002,26.241533
11-2002,25.27147
12-2002,24.832935
1-2003,23.049997
2-2003,25.516628
3-2003,26.722946
4-2003,29.057447
5-2003,28.580511
